{' b': -9.0694, ' A': -5.038006, ' B': -0.0068035806, ' "': -9.309352, " '": -10.436121}
{' b': -8.892552, ' A': -4.7210836, 'B': -10.432593, ' B': -0.009256114, ' "': -9.460567}
{' b': -8.883097, ' A': -4.8272967, 'B': -10.44354, ' B': -0.008332682, ' "': -9.589184}
{' b': -8.837909, ' A': -4.1390305, 'B': -10.350128, ' B': -0.01639019, ' "': -9.485403}
{' b': -8.947773, ' A': -4.4174256, 'B': -10.38663, ' B': -0.0124462, ' "': -9.4282}
{' b': -9.199014, ' A': -4.5139565, ' B': -0.0112959575, ' "': -9.349833, " '": -10.419289}
{' b': -8.842913, ' A': -4.5259666, 'B': -10.322414, ' B': -0.011203913, ' "': -9.490965}
{' b': -8.872603, ' A': -4.424199, 'B': -10.3744, ' B': -0.01237402, ' "': -9.455336}
{' b': -8.930463, ' A': -4.175284, 'B': -10.390552, ' B': -0.015775947, ' "': -9.657045}
{' b': -8.866457, ' A': -4.644497, 'B': -10.339829, ' B': -0.009964313, ' "': -9.554914}
{' b': -9.126995, ' A': -4.3801003, ' B': -0.012880341, ' "': -9.4224205, " '": -10.529705}
{' b': -8.876366, ' A': -4.446755, 'B': -10.396986, ' B': -0.012094954, ' "': -9.50998}
{' b': -8.994626, ' A': -4.649337, 'B': -10.467625, ' B': -0.009892916, ' "': -9.567524}
{' b': -8.82145, ' A': -4.476345, 'B': -10.373471, ' B': -0.011753304, ' "': -9.535064}
{' b': -9.025514, ' A': -4.476152, 'B': -10.500531, ' B': -0.011727973, ' "': -9.549432}
{' b': -9.292748, ' A': -5.397474, 'B': -10.619403, ' B': -0.004766039, ' "': -9.683161}
{' b': -9.0247755, ' A': -4.5574923, 'B': -10.473606, ' B': -0.010817673, ' "': -9.59563}
{' B': -0.012348615, ' A': -4.4200997, ' b': -9.153192, ' "': -9.759455, 'B': -10.522628}
{' b': -8.98855, ' A': -4.547061, 'B': -10.462748, ' B': -0.010930355, ' "': -9.638553}
{' B': -0.011313742, ' A': -4.5128565, ' b': -8.966677, ' "': -9.549111, 'B': -10.436224}
{' B': -0.010879075, ' A': -4.554033, ' b': -8.982916, ' "': -9.378995, " '": -10.483714}
{' b': -8.816667, ' A': -4.7878356, 'B': -10.36386, ' B': -0.008666731, ' "': -9.655761}
{' b': -8.957117, ' A': -5.2411976, 'B': -10.501974, ' B': -0.0055887233, ' "': -9.539137}
{' b': -8.976991, ' A': -4.989587, 'B': -10.48419, ' B': -0.007123431, ' "': -9.435551}
{' b': -9.103078, ' A': -5.5490103, 'B': -10.533703, ' B': -0.004143916, ' "': -9.6856365}
{' b': -9.121997, ' A': -5.5729337, ' B': -0.004092145, ' "': -9.342322, " '": -10.325243}
{' B': -0.0030483773, ' A': -5.8863664, ' b': -9.023361, ' "': -9.595315, 'B': -10.533059}
{' b': -8.976949, ' A': -5.9160323, 'B': -10.554066, ' B': -0.0029789659, ' "': -9.48631}
{' B': -0.0031449962, ' A': -5.8522124, ' b': -9.042582, ' "': -9.530908, 'B': -10.559184}
{' b': -8.9856415, ' A': -5.6085677, 'B': -10.5156555, ' B': -0.0039458824, ' "': -9.564206}
{' b': -9.05339, ' A': -6.24857, ' B': -0.002209675, ' "': -9.396203, " '": -10.485653}
{' b': -8.94733, ' A': -6.3192105, 'B': -10.58182, ' B': -0.0020853698, ' "': -9.492905}
{' b': -8.97444, ' A': -5.9293866, 'B': -10.662266, ' B': -0.0029357413, ' "': -9.504463}
{' b': -9.105997, ' A': -6.3330474, 'B': -10.673862, ' B': -0.0020249253, ' "': -9.599468}
{' B': -0.0012459892, ' A': -6.889736, ' b': -9.410379, ' "': -9.529086, " '": -10.468979}
{' b': -9.347467, ' A': -5.839038, ' B': -0.0031427245, ' "': -9.591548, " '": -10.556239}
{' b': -8.882211, ' A': -4.709308, ' B': -0.009406702, ' "': -9.2074175, " '": -10.129847}
{' b': -8.828679, ' A': -4.3219337, ' B': -0.01370628, ' "': -9.414156, " '": -10.322046}
{' B': -0.014310372, ' A': -4.2779365, ' b': -8.79847, ' "': -9.467905, 'B': -10.340318}
{' b': -8.813059, ' A': -3.7561631, 'B': -10.293692, ' B': -0.024002822, ' "': -9.46095}
{' b': -8.788128, ' A': -3.9316463, 'B': -10.2863865, ' B': -0.0201571, ' "': -9.4438305}
{' b': -9.256727, ' A': -4.424741, ' B': -0.0123376325, ' "': -9.355022, " '": -10.18176}
{' b': -8.840238, ' A': -3.6840472, 'B': -10.216828, ' B': -0.025792884, ' "': -9.534473}
{' b': -8.959587, ' A': -3.9959402, ' B': -0.018877935, ' "': -9.532128, " '": -10.321682}
{' b': -8.970507, ' A': -3.9881644, ' B': -0.019015705, ' "': -9.566265, " '": -10.313431}
{' b': -8.964501, ' A': -3.8716383, ' B': -0.021359531, ' "': -9.557206, " '": -10.325469}
{' B': -0.01778035, ' A': -4.0551186, ' b': -9.199001, ' "': -9.408463, " '": -10.1264105}
{' b': -8.903258, ' A': -4.1716943, ' B': -0.015865931, ' "': -9.515167, " '": -10.343462}
{' b': -8.995371, ' A': -4.3686833, ' B': -0.01305871, ' "': -9.503495, " '": -10.205301}
{' b': -8.888658, ' A': -4.126086, ' B': -0.016602883, ' "': -9.5318775, " '": -10.2878275}
{' b': -8.939158, ' A': -3.6586335, 'B': -10.3565445, ' B': -0.026423719, ' "': -9.631483}
{' B': -0.0064612124, ' A': -5.086177, ' b': -9.303678, ' "': -9.52491, " '": -10.232442}
{' b': -9.037331, ' A': -3.9533176, ' B': -0.019670492, ' "': -9.631273, " '": -10.378535}
{' B': -0.016241094, ' A': -4.1467857, ' b': -9.012125, ' "': -9.573854, " '": -10.313795}
{' b': -8.996628, ' A': -4.2049255, ' B': -0.015339202, ' "': -9.56675, " '": -10.295788}
{' b': -8.926984, ' A': -3.8919582, ' B': -0.020937035, ' "': -9.51896, " '": -10.309797}
{' B': -0.013771422, ' A': -4.31506, ' b': -9.06007, ' "': -9.350647, " '": -10.078714}
{' b': -8.752757, ' A': -4.341109, ' B': -0.013462728, ' "': -9.408107, " '": -10.283087}
{' b': -9.037868, ' A': -4.7528577, ' B': -0.0089556025, ' "': -9.510375, " '": -10.297859}
{' b': -9.07961, ' A': -4.883668, ' B': -0.00789769, ' "': -9.397613, " '": -10.172063}
{' b': -9.124565, ' A': -4.9094124, ' B': -0.0076792883, ' "': -9.562956, " '": -10.333812}
{' B': -0.0046319547, ' A': -5.4506764, ' b': -9.073673, ' "': -9.206204, " '": -9.907069}
{' B': -0.006198367, ' A': -5.1348944, ' b': -8.997367, ' "': -9.556602, " '": -10.326066}
{' b': -8.951903, ' A': -5.33791, ' B': -0.0051181326, ' "': -9.487855, " '": -10.266024}
{' b': -9.028397, ' A': -5.2692914, ' B': -0.0054461393, ' "': -9.5468235, " '": -10.317327}
{' b': -8.934007, ' A': -5.292685, ' B': -0.0053507946, ' "': -9.465735, " '": -10.215413}
{' b': -8.982154, ' A': -5.646369, ' B': -0.0038427252, ' "': -9.379084, " '": -10.110456}
{' b': -8.889106, ' A': -5.8057985, ' B': -0.0033328838, ' "': -9.422942, " '": -10.202399}
{' b': -9.014837, ' A': -5.5597405, ' B': -0.004136435, ' "': -9.577366, " '": -10.329855}
{' B': -0.0044697463, ' A': -5.4689775, ' b': -9.175181, ' "': -9.704894, " '": -10.465573}
{' B': -0.0023275432, ' A': -6.188145, ' b': -9.217853, ' "': -9.419882, " '": -10.165235}
{' b': -9.368737, ' A': -6.1477695, ' B': -0.0023954753, ' "': -9.477526, " '": -10.13577}
{' b': -9.317605, ' A': -5.023387, ' B': -0.006831487, ' "': -9.707925, " '": -10.526478}
{' B': -0.009852162, ' A': -4.6483464, ' b': -9.253835, ' "': -9.833269, 'B': -10.636476}
{' b': -9.193264, ' A': -4.6351075, 'B': -10.597247, ' B': -0.0099799065, ' "': -9.901143}
{' B': -0.018644962, ' A': -4.0034738, ' b': -9.234083, ' "': -9.979864, 'B': -10.545013}
{' b': -9.251124, ' A': -4.413368, 'B': -10.596635, ' B': -0.012411497, ' "': -9.857035}
{' b': -9.40804, ' A': -5.016356, ' B': -0.006868814, ' "': -9.716899, " '": -10.536727}
{' b': -9.130157, ' A': -4.4184413, 'B': -10.546874, ' B': -0.012369191, ' "': -9.871544}
{' b': -9.22645, ' A': -4.459552, 'B': -10.616996, ' B': -0.01185559, ' "': -9.946453}
{' b': -9.246735, ' A': -4.2648544, 'B': -10.583389, ' B': -0.014366304, ' "': -10.05589}
{' b': -9.136252, ' A': -4.346954, 'B': -10.5627985, ' B': -0.013263569, ' "': -9.957335}
{' b': -9.414418, ' A': -4.5625563, ' B': -0.010704888, ' "': -9.805021, " '": -10.521534}
{' b': -9.172163, ' A': -4.4941287, 'B': -10.587478, ' B': -0.011470432, ' "': -9.870245}
{' b': -9.237141, ' A': -4.922279, 'B': -10.643106, ' B': -0.0075256573, ' "': -9.928818}
{' b': -9.130714, ' A': -4.4031577, 'B': -10.5840845, ' B': -0.012557492, ' "': -9.840824}
{' b': -9.11337, ' A': -3.745242, ' B': -0.0241827, ' "': -9.720658, " '": -10.443893}
{' b': -9.391991, ' A': -4.9822845, ' B': -0.0070973807, ' "': -9.824699, " '": -10.563726}
{' b': -9.153545, ' A': -3.9886906, ' B': -0.018949006, ' "': -9.757846, " '": -10.541898}
{' b': -9.273503, ' A': -4.461963, 'B': -10.644173, ' B': -0.011817293, ' "': -10.025351}
{' B': -0.010095922, ' A': -4.624031, ' b': -9.175965, ' "': -9.932041, 'B': -10.571749}
{' b': -9.188385, ' A': -4.336401, 'B': -10.595789, ' B': -0.01340721, ' "': -9.866869}
{' b': -9.238326, ' A': -4.6964602, ' B': -0.009408628, ' "': -9.719854, " '": -10.431356}
{' b': -9.16393, ' A': -4.6747303, 'B': -10.646595, ' B': -0.009599979, ' "': -9.904605}
{' b': -9.25754, ' A': -5.514995, 'B': -10.730405, ' B': -0.004236033, ' "': -10.003185}
{' b': -9.327831, ' A': -5.4100366, ' B': -0.0046928567, ' "': -9.84845, " '": -10.639855}
{' b': -9.397452, ' A': -5.6721196, 'B': -10.728594, ' B': -0.0036399658, ' "': -9.986531}
{' b': -9.363847, ' A': -6.0959706, ' B': -0.002474885, ' "': -9.661074, " '": -10.444325}
{' b': -9.291015, ' A': -5.706421, 'B': -10.729645, ' B': -0.0035362393, ' "': -9.916363}
{' b': -9.287662, ' A': -6.139505, ' B': -0.0023627342, ' "': -9.948549, " '": -10.703131}
{' B': -0.0018780144, ' A': -6.392516, ' b': -9.29257, ' "': -9.95802, " '": -10.709657}
{' b': -9.242277, ' A': -5.718321, 'B': -10.69974, ' B': -0.0034988539, ' "': -9.989068}
