{' number': -5.9342136, ' 1': -1.799021, ' 2': -0.25823066, ' one': -5.402187, ' two': -2.9497304}
{' 2': -0.20053291, ' 1': -2.1000195, ' two': -2.9760168, ' one': -5.6527944, ' number': -6.071881}
{' number': -5.899302, ' 1': -1.8600591, ' 2': -0.2419925, ' one': -5.530468, ' two': -2.9973006}
{' number': -6.0583005, ' 1': -1.8035458, ' 2': -0.25078684, ' one': -5.4795218, ' two': -3.0342379}
{' 2': -0.16813247, ' 1': -2.320173, ' two': -3.0222812, ' one': -5.9157877, ' number': -5.959023}
{' number': -6.007699, ' 1': -1.474879, ' 2': -0.34013256, ' one': -5.1012254, ' two': -3.029494}
{' number': -5.8662443, ' 1': -1.5041474, ' 2': -0.33196533, ' one': -5.2029996, ' two': -3.0124938}
{' number': -5.951136, ' 1': -1.5458478, ' 2': -0.31572637, ' one': -5.218939, ' two': -3.0574958}
{' number': -5.8614974, ' 1': -1.4662216, ' 2': -0.33719727, ' one': -5.1875267, ' two': -3.1185539}
{' number': -6.009036, ' 1': -1.4369051, ' 2': -0.34319133, ' one': -5.219084, ' two': -3.162966}
{' #': -6.0102873, ' 1': -1.3568903, ' 2': -0.3801657, ' one': -5.0175576, ' two': -3.0577226}
{' number': -6.0173335, ' 1': -1.4799454, ' 2': -0.3338081, ' one': -5.1845293, ' two': -3.0902092}
{' number': -5.908466, ' 1': -1.6053332, ' 2': -0.29894832, ' one': -5.314501, ' two': -3.0573022}
{' number': -5.832013, ' 1': -1.6709687, ' 2': -0.28487927, ' one': -5.318743, ' two': -3.0164313}
{' 2': -0.2994247, ' 1': -1.6282744, ' two': -2.97182, ' one': -5.247808, ' number': -5.7885895}
{' number': -5.9732885, ' 1': -1.9632174, ' 2': -0.23167865, ' one': -5.45071, ' two': -2.8670413}
{' number': -5.738568, ' 1': -1.6240212, ' 2': -0.30323952, ' one': -5.2021823, ' two': -2.9451575}
{' number': -5.823186, ' 1': -1.6114162, ' 2': -0.30498168, ' one': -5.2283096, ' two': -2.9552157}
{' number': -5.847368, ' 1': -1.5722009, ' 2': -0.31392673, ' one': -5.1664124, ' two': -2.9882162}
{' number': -5.927449, ' 1': -1.4375604, ' 2': -0.34987593, ' one': -5.1140294, ' two': -3.0730548}
{' number': -5.877911, ' 1': -1.3030361, ' 2': -0.4022298, ' one': -4.9768286, ' two': -3.0606923}
{' number': -5.8590612, ' 1': -1.5870259, ' 2': -0.30822885, ' one': -5.2332473, ' two': -3.007228}
{' number': -5.7682934, ' 1': -1.6962168, ' 2': -0.28241357, ' one': -5.3214164, ' two': -2.9631157}
{' number': -5.856324, ' 1': -1.7116052, ' 2': -0.28024498, ' one': -5.326619, ' two': -2.934397}
{' number': -5.7139006, ' 1': -1.8887036, ' 2': -0.24149632, ' one': -5.496237, ' two': -2.9394274}
{' number': -5.9524884, ' 1': -2.1498768, ' 2': -0.20213634, ' one': -5.6379185, ' two': -2.8560212}
{' number': -5.766792, ' 1': -2.038416, ' 2': -0.21806158, ' one': -5.610214, ' two': -2.88315}
{' number': -5.735371, ' 1': -1.9513011, ' 2': -0.23706588, ' one': -5.4757423, ' two': -2.8393683}
{' number': -5.771761, ' 1': -2.044971, ' 2': -0.22375077, ' one': -5.474379, ' two': -2.7988486}
{' number': -5.825567, ' 1': -1.9968691, ' 2': -0.22471526, ' one': -5.495599, ' two': -2.890172}
{' number': -5.7528906, ' 1': -2.073672, ' 2': -0.22039299, ' one': -5.513412, ' two': -2.78546}
{' number': -5.866157, ' 1': -1.9266497, ' 2': -0.23668928, ' one': -5.4665256, ' two': -2.898753}
{' number': -5.855537, ' 1': -2.2433243, ' 2': -0.18968017, ' one': -5.6687145, ' two': -2.859869}
{' number': -5.802498, ' 1': -2.112237, ' 2': -0.20450698, ' one': -5.661019, ' two': -2.9096346}
{' number': -5.7526665, ' #': -5.86652, ' 1': -2.7905283, ' 2': -0.13705373, ' two': -2.8417103}
{' 2': -0.1861861, ' 1': -2.203596, ' two': -2.9658394, ' one': -5.8365407, ' number': -6.035577}
{' #': -5.8880386, ' 1': -1.6528618, ' 2': -0.27641058, ' one': -5.518996, ' two': -3.2110474}
{' #': -5.7539225, ' 1': -1.4287263, ' 2': -0.33675787, ' one': -5.4266224, ' two': -3.3266315}
{' #': -5.8615694, ' 1': -1.5519813, ' 2': -0.3013024, ' one': -5.5157294, ' two': -3.2572443}
{' #': -5.848301, ' 1': -1.4179231, ' 2': -0.34075195, ' one': -5.396556, ' two': -3.3158343}
{' #': -5.803629, ' 1': -1.6579784, ' 2': -0.27033657, ' one': -5.6434617, ' two': -3.3043864}
{' #': -5.905442, ' 1': -1.3012303, ' 2': -0.38050535, ' one': -5.2823024, ' two': -3.389365}
{' number': -5.7652373, ' 1': -1.9080199, ' 2': -0.23510733, ' one': -5.553795, ' two': -2.978201}
{' #': -5.7711244, ' 1': -1.1597242, ' 2': -0.444209, ' one': -5.1213446, ' two': -3.4151676}
{' #': -5.8155885, ' 1': -1.2377763, ' 2': -0.4100442, ' one': -5.1749845, ' two': -3.3650458}
{' #': -5.8436804, ' 1': -1.1738536, ' 2': -0.43681026, ' one': -5.1435876, ' two': -3.4104388}
{' #': -5.743187, ' 1': -1.4866132, ' 2': -0.32340515, ' one': -5.309981, ' two': -3.24264}
{' #': -5.796483, ' 1': -1.3978217, ' 2': -0.3497889, ' one': -5.269331, ' two': -3.2979317}
