{' 4': -2.1109066, ' 5': -2.2380962, ' 6': -2.105132, ' 8': -1.6300534, ' 9': -2.3792324}
{' 4': -2.1345663, ' 5': -2.1885014, ' 6': -2.1062205, ' 8': -1.5738974, ' 9': -2.3591452}
{' 8': -1.6214993, ' 4': -2.1344657, ' 6': -2.1387713, ' 5': -2.2137234, ' 9': -2.3094704}
{' 8': -1.5931712, ' 6': -2.1486266, ' 4': -2.1517544, ' 5': -2.2124007, ' 9': -2.3196185}
{' 4': -2.1152177, ' 5': -2.2258534, ' 6': -2.1750474, ' 8': -1.6273379, ' 9': -2.3505082}
{' 4': -2.135981, ' 5': -2.2409937, ' 6': -2.1635, ' 8': -1.6021188, ' 9': -2.3069673}
{' 8': -1.6134428, ' 4': -2.14135, ' 6': -2.1688263, ' 5': -2.2196963, ' 7': -2.3365016}
{' 8': -1.6307929, ' 6': -2.141679, ' 4': -2.1654932, ' 5': -2.2519217, ' 9': -2.2743542}
{' 8': -1.6886581, ' 4': -2.1658912, ' 6': -2.208404, ' 5': -2.248609, ' 9': -2.383966}
{' 4': -2.1499314, ' 5': -2.2401173, ' 6': -2.1694808, ' 8': -1.6472276, ' 9': -2.327185}
{' 4': -2.1479197, ' 5': -2.2347088, ' 6': -2.1788797, ' 7': -2.3660002, ' 8': -1.6511058}
{' 8': -1.6718607, ' 4': -2.17616, ' 6': -2.1857414, ' 5': -2.2545137, ' 9': -2.337696}
{' 4': -2.158589, ' 5': -2.2302213, ' 6': -2.167296, ' 8': -1.6667094, ' 9': -2.3803515}
{' 8': -1.6180866, ' 4': -2.1256797, ' 5': -2.2044542, ' 6': -2.225761, ' 7': -2.3380697}
{' 8': -1.6644969, ' 4': -2.1620755, ' 6': -2.1808658, ' 5': -2.2507796, ' 9': -2.3546033}
{' 4': -2.2050686, ' 5': -2.2796118, ' 6': -2.1957588, ' 8': -1.6925203, ' 9': -2.295701}
{' 4': -2.1748374, ' 5': -2.2428582, ' 6': -2.1633217, ' 8': -1.7249377, ' 9': -2.3480856}
{' 4': -2.184366, ' 5': -2.2507358, ' 6': -2.1708105, ' 8': -1.6954533, ' 9': -2.3268516}
{' 4': -2.1441395, ' 5': -2.2366984, ' 6': -2.1753047, ' 8': -1.6561624, ' 9': -2.3429587}
{' 4': -2.1544483, ' 5': -2.231733, ' 6': -2.158427, ' 8': -1.6595008, ' 9': -2.3178022}
{' 4': -2.140775, ' 5': -2.2413008, ' 6': -2.1964543, ' 7': -2.3657506, ' 8': -1.69798}
{' 8': -1.6896338, ' 4': -2.1372123, ' 6': -2.1980357, ' 5': -2.2636046, ' 9': -2.3888853}
{' 4': -2.116968, ' 5': -2.219831, ' 6': -2.2006814, ' 7': -2.33495, ' 8': -1.6660154}
{' 4': -2.1849298, ' 5': -2.2594712, ' 6': -2.1753016, ' 8': -1.7128592, ' 9': -2.328544}
{' 4': -2.1825747, ' 5': -2.215028, ' 6': -2.1604598, ' 7': -2.315963, ' 8': -1.7000134}
{' 8': -1.6550406, ' 4': -2.1483746, ' 6': -2.1690543, ' 5': -2.2189112, ' 7': -2.3292923}
{' 8': -1.6121958, ' 4': -2.127366, ' 6': -2.1964922, ' 5': -2.2294893, ' 7': -2.3344905}
