{'2': -2.6126785, '3': -1.9108638, '7': -0.9313621, '8': -2.528082, '9': -2.4167557}
{'2': -2.469355, '3': -1.8384614, '7': -1.0030713, '8': -2.5583825, '9': -2.3954892}
{'7': -0.87791634, '3': -1.9059275, '9': -2.5497625, '8': -2.5699558, '2': -2.657402}
{'2': -2.5715768, '3': -1.8358687, '7': -0.9829461, '8': -2.5618951, '9': -2.4007735}
{'2': -2.6761649, '3': -1.9677874, '7': -0.8116613, '8': -2.5976892, '9': -2.5945382}
{'2': -2.5692258, '3': -1.846186, '7': -0.9028535, '8': -2.5772157, '9': -2.553286}
{'2': -2.576993, '3': -1.9510201, '7': -0.8771028, '8': -2.6127481, '9': -2.5415545}
{'7': -0.97578967, '3': -1.8397292, '9': -2.4165685, '2': -2.5531042, '8': -2.5721567}
{'7': -0.8377447, '3': -1.9194365, '8': -2.6094506, '2': -2.6315622, '4': -2.6660836}
{'2': -2.4693284, '3': -1.810946, '7': -0.97988176, '8': -2.573502, '9': -2.4134774}
{'2': -2.5067613, '3': -1.7547511, '7': -1.1765879, '8': -2.5133092, '9': -2.3144321}
{'2': -2.5174496, '3': -1.7917894, '4': -2.6206183, '7': -0.93455255, '9': -2.6013196}
{'2': -2.468701, '3': -1.7513719, '7': -1.1821066, '8': -2.5310483, '9': -2.3100286}
{'7': -0.9414143, '3': -1.7932057, '2': -2.4961572, '9': -2.6008723, '4': -2.610314}
{'2': -2.5883272, '3': -1.8460498, '7': -1.0662668, '8': -2.5082452, '9': -2.3057172}
{'7': -0.9804566, '3': -1.7478955, '2': -2.4553902, '9': -2.566707, '4': -2.607034}
{'7': -0.9960525, '3': -1.8848749, '9': -2.3070743, '8': -2.5436828, '2': -2.599818}
{'2': -2.4128976, '3': -1.7612998, '7': -1.0493952, '8': -2.5980804, '9': -2.3635185}
{'7': -1.1425421, '3': -1.7287008, '9': -2.3219721, '2': -2.5183318, '6': -2.5285952}
{'7': -1.0088506, '3': -1.7784544, '9': -2.4229283, '2': -2.4504075, '8': -2.632113}
{'2': -2.4867148, '3': -1.7167505, '7': -1.1773866, '8': -2.517099, '9': -2.2994857}
{'2': -2.437823, '3': -1.7866675, '7': -0.96354926, '8': -2.6074436, '9': -2.513865}
{'2': -2.4654617, '3': -1.6616518, '6': -2.4841826, '7': -1.2344495, '9': -2.3548489}
{'7': -1.0115244, '3': -1.7494967, '2': -2.4297984, '9': -2.4704363, '4': -2.613104}
{'2': -2.6085088, '3': -1.8836132, '7': -1.0638045, '8': -2.4983804, '9': -2.2852514}
{'7': -1.025076, '3': -1.7714369, '9': -2.4082472, '2': -2.5223868, '8': -2.553036}
{'2': -2.636915, '3': -1.8465823, '7': -1.0480784, '8': -2.4785478, '9': -2.343893}
{'7': -0.85429585, '3': -1.8777733, '9': -2.5958633, '4': -2.6217024, '5': -2.6655312}
{'2': -2.5549471, '3': -1.7740403, '7': -1.1122667, '8': -2.477692, '9': -2.3130305}
{'7': -0.954588, '3': -1.7736835, '2': -2.5669327, '9': -2.5804157, '4': -2.5973434}
{'7': -1.1364872, '3': -1.7624847, '9': -2.3029664, '8': -2.47215, '2': -2.5667183}
{'2': -2.4837463, '3': -1.7297925, '4': -2.6110218, '7': -0.986926, '9': -2.5942485}
{'2': -2.4218223, '3': -1.8199146, '7': -0.9661931, '8': -2.6348963, '9': -2.4426718}
