{'2': -2.1741905, '3': -1.5727708, '4': -2.527006, '7': -1.2303846, '9': -2.3917196}
{'2': -2.2154973, '3': -1.684949, '4': -2.5582116, '7': -1.1359245, '9': -2.4664488}
{'2': -2.1774633, '3': -1.7131478, '4': -2.5511796, '7': -1.1353298, '9': -2.5343397}
{'2': -2.1249979, '3': -1.6182116, '4': -2.5303268, '7': -1.2353438, '9': -2.4229448}
{'2': -2.2215023, '3': -1.6598586, '4': -2.5275042, '7': -1.1118336, '9': -2.477356}
{'7': -1.158112, '3': -1.6996694, '2': -2.2091146, '9': -2.5053506, '4': -2.5221045}
{'2': -2.2225492, '3': -1.6968552, '4': -2.539684, '7': -1.1392801, '9': -2.5215945}
{'2': -2.2074492, '3': -1.708275, '4': -2.551655, '7': -1.1361314, '9': -2.4344692}
{'2': -2.1614597, '3': -1.6508777, '4': -2.5077713, '7': -1.1404828, '9': -2.5406635}
{'7': -1.1382111, '3': -1.6888741, '2': -2.278464, '9': -2.5124996, '4': -2.5192862}
{'2': -2.2002604, '3': -1.6511613, '4': -2.4989989, '7': -1.1429101, '9': -2.5591357}
{'2': -2.208095, '3': -1.6340859, '4': -2.4808877, '7': -1.1887277, '9': -2.5144396}
{'2': -2.214804, '3': -1.6224328, '4': -2.505249, '7': -1.1579096, '9': -2.510874}
{'7': -1.0434194, '3': -1.7520947, '2': -2.3919969, '9': -2.4960408, '4': -2.5916717}
{'2': -2.233258, '3': -1.6944034, '4': -2.5377681, '7': -1.1308372, '9': -2.4867027}
{'7': -1.2003165, '3': -1.6413012, '2': -2.1800988, '9': -2.4793866, '4': -2.5277395}
{'7': -1.1460934, '3': -1.6788235, '2': -2.1827068, '9': -2.4732053, '4': -2.4840984}
{'7': -1.1844394, '3': -1.6629225, '2': -2.1805692, '4': -2.4549778, '9': -2.474549}
{'7': -1.0246253, '3': -1.7229668, '2': -2.3107371, '4': -2.5176349, '9': -2.5700908}
{'2': -2.2961879, '3': -1.7459426, '4': -2.5260825, '7': -1.0394397, '9': -2.5014262}
{'2': -2.1650643, '3': -1.6402307, '4': -2.4490113, '7': -1.1658978, '9': -2.5011678}
{'2': -2.1282973, '3': -1.6510521, '4': -2.4994254, '7': -1.2037768, '9': -2.493547}
{'7': -1.1870505, '3': -1.6144968, '2': -2.1607385, '4': -2.4831073, '9': -2.5098693}
{'2': -2.1847324, '3': -1.5960236, '4': -2.4790347, '7': -1.21414, '9': -2.5349712}
{'7': -1.172375, '3': -1.6413537, '2': -2.2075522, '9': -2.4548037, '4': -2.4706614}
{'2': -2.2096364, '3': -1.6835762, '4': -2.5126665, '7': -1.1563528, '9': -2.4904401}
{'7': -1.1719154, '3': -1.6635171, '2': -2.1900733, '9': -2.452286, '4': -2.4890196}
{'7': -1.2171198, '3': -1.6070334, '2': -2.2238739, '9': -2.493796, '4': -2.496325}
{'7': -1.1763012, '3': -1.653436, '2': -2.2044575, '9': -2.425296, '4': -2.5009413}
{'2': -2.2311792, '3': -1.5956428, '4': -2.5093393, '7': -1.1916741, '9': -2.514012}
{'7': -1.1773157, '3': -1.6542768, '2': -2.2249613, '9': -2.4707596, '4': -2.5331373}
{'2': -2.2512844, '3': -1.6682367, '4': -2.581189, '7': -1.1640253, '9': -2.3912802}
{'7': -1.1395721, '3': -1.6951731, '2': -2.154709, '9': -2.4165401, '4': -2.5086346}
