{'7': -1.5190105, '3': -1.5902959, '2': -1.853281, '9': -2.4597912, '6': -2.4784126}
{'2': -1.9569012, '3': -1.4756048, '4': -2.4762416, '7': -1.502071, '9': -2.5163398}
{'3': -1.4979646, '7': -1.5185412, '2': -1.8757151, '4': -2.4873712, '9': -2.528755}
{'2': -1.8811926, '3': -1.5107852, '4': -2.4760392, '7': -1.496627, '9': -2.549804}
{'2': -1.8742524, '3': -1.4765645, '4': -2.4592364, '7': -1.5416262, '9': -2.5343726}
{'3': -1.4817836, '7': -1.5290345, '2': -1.912213, '4': -2.4500606, '9': -2.544484}
{'2': -2.1710281, '3': -1.5009079, '4': -2.513737, '5': -2.590374, '7': -1.2590771}
{'2': -1.8990055, '3': -1.4579846, '4': -2.4547803, '5': -2.5837705, '7': -1.5071448}
{'2': -1.904738, '3': -1.4697309, '4': -2.43566, '7': -1.5346152, '9': -2.5321298}
{'3': -1.4737726, '7': -1.5544975, '2': -1.8970877, '4': -2.4303122, '9': -2.5470378}
{'7': -1.4568706, '3': -1.4628024, '2': -2.0048747, '4': -2.4294276, '5': -2.5745826}
{'3': -1.4556303, '7': -1.5322391, '2': -1.9374267, '4': -2.4373982, '6': -2.5532446}
{'2': -2.0358164, '3': -1.4460145, '4': -2.4388773, '5': -2.560074, '7': -1.4314597}
{'2': -2.0181549, '3': -1.4284217, '4': -2.4124534, '5': -2.5450106, '7': -1.4618577}
{'7': -1.431237, '3': -1.4768606, '2': -2.0104203, '4': -2.4543006, '6': -2.5436103}
{'2': -2.1079404, '3': -1.4368837, '4': -2.46792, '5': -2.5908334, '7': -1.3381193}
{'2': -1.873128, '3': -1.4568187, '4': -2.426082, '7': -1.5812047, '9': -2.5589573}
{'3': -1.5344201, '7': -1.5367013, '2': -1.9165137, '4': -2.4921799, '6': -2.5066016}
{'3': -1.4552568, '7': -1.4928468, '2': -1.9592738, '4': -2.4232955, '9': -2.5707526}
{'3': -1.4741601, '7': -1.5300912, '2': -1.9327592, '4': -2.457873, '6': -2.5246246}
