{' 4': -1.9939424, ' 5': -2.1387892, ' 6': -2.1379254, ' 7': -2.42884, ' 8': -1.6291037}
{' 8': -1.8149934, '\n': -2.025145, ' 4': -2.2142196, ' 6': -2.3102765, ' 5': -2.3336406}
{'\n': -1.9730165, ' 4': -2.2316663, ' 5': -2.3306975, ' 6': -2.3252215, ' 8': -1.786719}
{' 8': -1.7531266, '\n': -1.9212127, ' 4': -2.2095551, ' 5': -2.3264403, ' 6': -2.356173}
{'\n': -1.5666071, ' 4': -2.3388524, ' 5': -2.425595, ' 6': -2.4440038, ' 8': -1.8787277}
{'\n': -1.5983506, ' 4': -2.3059025, ' 5': -2.4028196, ' 6': -2.4355307, ' 8': -1.8608027}
{'\n': -1.2356895, ' 4': -2.452804, ' 5': -2.5374968, ' 6': -2.6008303, ' 8': -1.9935821}
{'\n': -1.4473945, ' 4': -2.3326015, ' 5': -2.4637575, ' 6': -2.525798, ' 8': -1.8536664}
{' 8': -1.8181345, '\n': -1.8626177, ' 4': -2.253897, ' 5': -2.3589709, ' 6': -2.3774467}
{'\n': -1.7453183, ' 8': -1.8461177, ' 4': -2.259526, ' 5': -2.3628528, ' 6': -2.3969326}
{'\n': -1.5504613, ' 8': -1.8965603, ' 4': -2.3179224, ' 5': -2.4378507, ' 6': -2.4764268}
{'\n': -1.5896137, ' 8': -1.8627118, ' 4': -2.3019664, ' 5': -2.4100807, ' 6': -2.4513223}
{'\n': -1.4697468, ' 8': -1.934805, ' 4': -2.367157, ' 5': -2.440735, ' 6': -2.4916613}
{'\n': -1.6481922, ' 4': -2.2801435, ' 5': -2.3797328, ' 6': -2.4294336, ' 8': -1.8598439}
{'\n': -1.4191433, ' 8': -1.9548575, ' 4': -2.3890014, ' 5': -2.4800935, ' 6': -2.5403552}
{'\n': -1.6115727, ' 8': -1.8253074, ' 4': -2.2898097, ' 5': -2.4143758, ' 6': -2.4734693}
{'\n': -1.7872891, ' 8': -1.8529143, ' 4': -2.2545953, ' 5': -2.3892694, ' 6': -2.4027932}
{'\n': -1.6318371, ' 4': -2.2709608, ' 5': -2.406563, ' 6': -2.4358542, ' 8': -1.8710063}
{'\n': -1.7755715, ' 8': -1.8509318, ' 4': -2.2633817, ' 5': -2.3687625, ' 6': -2.3986106}
{'\n': -1.6101223, ' 4': -2.2871368, ' 5': -2.4115179, ' 6': -2.4583814, ' 8': -1.8718468}
{'\n': -1.4910496, ' 4': -2.3387372, ' 5': -2.4630127, ' 6': -2.5072563, ' 8': -1.9358976}
{' 8': -1.8302436, '\n': -1.8522868, ' 4': -2.242559, ' 5': -2.360948, ' 6': -2.3695512}
{'\n': -1.2864529, ' 4': -2.3947065, ' 5': -2.5230758, ' 6': -2.610724, ' 8': -2.0355668}
{'\n': -1.4749237, ' 4': -2.310745, ' 5': -2.4494395, ' 6': -2.516994, ' 8': -1.9177892}
{'\n': -1.700248, ' 8': -1.8744222, ' 4': -2.2898743, ' 5': -2.3798153, ' 6': -2.4242823}
{'\n': -1.6668242, ' 4': -2.2743883, ' 5': -2.3856719, ' 6': -2.4298737, ' 8': -1.8671455}
{'\n': -1.478771, ' 8': -1.917937, ' 4': -2.342161, ' 5': -2.4426115, ' 6': -2.4951475}
{'\n': -1.4910504, ' 8': -1.9198527, ' 4': -2.3318381, ' 5': -2.4476686, ' 6': -2.5062194}
{'\n': -1.5240492, ' 8': -1.9054139, ' 4': -2.336282, ' 5': -2.452372, ' 6': -2.507356}
