{' Odd': -4.2759004, ' 1': -3.006027, ' odd': -0.19955897, ' 0': -3.5803776, ' even': -2.5113332}
{':': -3.6332116, ' 1': -4.105806, ' 0': -0.65933955, ' zero': -4.8539634, ' even': -0.87133664}
{' 1': -0.740604, ' one': -5.4901757, ' odd': -0.70109713, ' 0': -5.325773, ' even': -5.5045724}
{' even': -0.28468275, ' 0': -1.5143038, ':': -4.8424582, ' zero': -5.016025, ' EVEN': -5.8640304}
{' odd': -0.65068936, ' 1': -0.779279, ' 0': -5.6153064, ' even': -5.7826147, ' one': -5.794736}
{' even': -0.20906417, ' 0': -1.7550027, ':': -5.4287868, ' zero': -5.9795218, ' odd': -6.199824}
{' Odd': -6.406203, ' uneven': -7.417838, ' 1': -4.896205, ' odd': -0.012392971, ' even': -7.6126785}
{' ': -3.5721636, ':': -2.534215, ' 0': -0.7863949, ' zero': -3.6019812, ' even': -1.051711}
{' odd': -0.38541886, ' 1': -1.230773, ' Odd': -4.640458, ' one': -5.480699, ' ': -5.768846}
{':': -4.9615664, ' 1': -3.007725, ' odd': -0.12868193, ' 0': -3.11052, ' even': -5.1139865}
{':': -3.314194, ' 1': -4.5144253, ' odd': -5.5009766, ' 0': -1.3324044, ' even': -0.40676138}
{' 1': -0.41605523, ' one': -4.7860847, ' odd': -1.1746747, ' 0': -5.0905747, ' even': -5.761026}
{' ': -6.35835, ':': -5.2741165, ' 0': -1.0003989, ' zero': -4.606937, ' even': -0.497969}
{' odd': -0.32569394, ' 1': -1.3487213, ' even': -4.9713836, ' Odd': -5.6003366, ' 0': -6.325407}
{' even': -0.009981894, ' 0': -5.4714427, ':': -6.452817, ' odd': -6.777804, ' Even': -6.936525}
{' Odd': -6.103466, ' 1': -0.9982261, ' one': -5.725298, ' odd': -0.48639104, ' even': -5.4026775}
{' ': -5.8649273, ':': -4.3918633, ' 0': -1.748052, ' zero': -4.627263, ' even': -0.2363695}
{' Odd': -5.064701, ' 1': -0.46507457, ' one': -4.0723753, ' odd': -1.0998993, ' even': -5.6523514}
{' Odd': -4.4042125, ' 1': -4.223825, ' odd': -0.074491374, ' 0': -4.8453484, ' even': -3.4063745}
{':': -3.8129401, ' 1': -4.5111527, ' odd': -5.1443095, ' 0': -1.5905958, ' even': -0.2968413}
{' Odd': -5.2818108, ' 1': -0.5740621, ' one': -5.2953176, ' odd': -0.8959902, ' 0': -5.028149}
{' even': -0.30547935, ' 0': -1.4096931, ' zero': -5.272216, ':': -5.57819, ' ': -6.175192}
{' 1': -0.69233674, ' odd': -0.75824904, ' even': -4.690958, ' 0': -5.4012914, ' Odd': -5.4324403}
{' ': -6.5179625, ':': -4.8569317, ' Even': -6.528656, ' 0': -2.5454638, ' even': -0.10115456}
{' Odd': -5.7306433, ' ': -7.0235114, ' 1': -2.782508, ' odd': -0.0738431, ' 0': -7.117347}
{' ': -3.761598, ':': -2.7613597, ' 0': -0.9108864, ' zero': -2.7943263, ' even': -1.0381819}
{' Odd': -4.580106, ' 1': -0.7675436, ' one': -4.610249, ' odd': -0.69533134, ' even': -5.3970914}
{' odd': -0.20158987, ' 1': -2.4003766, ' even': -3.0184593, ' 0': -3.7862492, ' Odd': -4.3916187}
{':': -3.7750537, ' 1': -4.614683, ' odd': -4.6659417, ' 0': -2.3323138, ' even': -0.17244548}
{' Odd': -5.532595, ' 1': -0.6180665, ' odd': -0.82918894, ' 0': -5.36696, ' even': -5.5401225}
{' ': -4.9433384, ':': -4.407376, ' 0': -0.11578578, ' zero': -4.293254, ' even': -2.814099}
{' Odd': -5.8943825, ' 1': -0.56871456, ' one': -5.732857, ' odd': -0.8781685, ' 0': -5.7802777}
