{'2': -2.0609746, '3': -1.6471275, '5': -2.4379945, '7': -1.4537683, '9': -2.3646243}
{'2': -2.020567, '3': -1.6057758, '5': -2.4109936, '7': -1.4906578, '9': -2.3395557}
{'7': -1.3532128, '3': -1.5846982, '2': -2.14095, '9': -2.3745065, '5': -2.5220323}
{'7': -1.4313511, '3': -1.582045, '2': -2.054934, '9': -2.3549752, '5': -2.496071}
{'7': -1.3364384, '3': -1.597478, '2': -2.176574, '9': -2.3537266, '4': -2.5234063}
{'7': -1.3729054, '3': -1.5666825, '2': -2.2045054, '9': -2.3000598, '4': -2.5128725}
{'7': -1.3602, '3': -1.5679828, '2': -2.1753724, '9': -2.3110669, '4': -2.5085576}
{'7': -1.4023567, '3': -1.5323482, '2': -2.1393085, '9': -2.3597143, '4': -2.472799}
{'2': -2.1705644, '3': -1.60231, '4': -2.5093896, '7': -1.3386552, '9': -2.3681486}
{'7': -1.3868288, '3': -1.5689806, '2': -2.172914, '9': -2.322864, '4': -2.5014853}
{'7': -1.3281093, '3': -1.5984607, '2': -2.2136855, '9': -2.3316836, '4': -2.499042}
{'2': -2.171518, '3': -1.574682, '4': -2.4828203, '7': -1.379238, '9': -2.3240812}
{'7': -1.3466994, '3': -1.5881544, '2': -2.1619365, '9': -2.3268688, '4': -2.493388}
{'2': -2.1683023, '3': -1.5619122, '4': -2.4765031, '7': -1.3987632, '9': -2.3291318}
{'7': -1.3839942, '3': -1.5547628, '2': -2.1452935, '9': -2.3310957, '4': -2.5033655}
{'2': -2.0779672, '3': -1.5510986, '4': -2.4572265, '7': -1.438151, '9': -2.384629}
{'7': -1.3957392, '3': -1.575997, '2': -2.130679, '9': -2.3440158, '4': -2.4728553}
{'2': -2.1353445, '3': -1.6117389, '4': -2.4905384, '7': -1.4243534, '9': -2.286687}
{'7': -1.3505867, '3': -1.5868461, '2': -2.2229488, '9': -2.3001506, '4': -2.5257041}
{'7': -1.3996501, '3': -1.577312, '2': -2.1827674, '9': -2.2975783, '4': -2.4922214}
{'7': -1.1943474, '3': -1.6972942, '2': -2.3109913, '9': -2.3363438, '4': -2.4744873}
{'2': -2.3468542, '3': -1.6569242, '4': -2.5010958, '7': -1.2171869, '9': -2.3502188}
{'2': -2.2287803, '3': -1.5907036, '4': -2.5010812, '7': -1.3745837, '9': -2.2565703}
{'2': -2.2012625, '3': -1.5867395, '4': -2.4963942, '7': -1.3830824, '9': -2.2502966}
{'7': -1.4261211, '3': -1.5539289, '2': -2.0935423, '9': -2.326611, '4': -2.4625802}
{'2': -2.149744, '3': -1.5639784, '4': -2.4576206, '7': -1.4326727, '9': -2.3003504}
{'2': -2.0977273, '3': -1.5379206, '4': -2.4564898, '7': -1.4532896, '9': -2.321055}
{'7': -1.482497, '3': -1.5433165, '2': -2.092528, '9': -2.2959697, '4': -2.4389884}
{'7': -1.3838545, '3': -1.5656326, '2': -2.1462715, '9': -2.2917638, '4': -2.4970634}
{'7': -1.4522994, '3': -1.5425266, '2': -2.1315386, '9': -2.2674048, '4': -2.4764025}
{'2': -2.1024303, '3': -1.5787889, '4': -2.5030937, '7': -1.4277364, '9': -2.2800314}
{'7': -1.4756052, '3': -1.5642473, '2': -2.0470488, '9': -2.3398592, '4': -2.4803374}
{'7': -1.4430977, '3': -1.566898, '2': -2.087528, '9': -2.344091, '4': -2.47978}
{'2': -2.1681385, '3': -1.5967655, '4': -2.480774, '7': -1.4419059, '9': -2.2512436}
{'7': -1.427478, '3': -1.5904856, '2': -2.1502545, '9': -2.292884, '4': -2.4988947}
{'7': -1.4852241, '3': -1.561623, '2': -2.1064932, '9': -2.3015196, '4': -2.4630895}
{'2': -2.1325076, '3': -1.5323031, '4': -2.4504914, '7': -1.4647219, '9': -2.312239}
{'2': -2.138188, '3': -1.5385593, '4': -2.4573214, '7': -1.4590497, '9': -2.2858453}
{'7': -1.4263713, '3': -1.5281018, '2': -2.187625, '9': -2.3244352, '4': -2.4739199}
{'2': -2.159209, '3': -1.5370165, '4': -2.4723995, '7': -1.4379737, '9': -2.2681339}
