{' No': -0.09881018, ' Yes': -2.6181371, 'No': -4.0900593, '\n': -5.7983394, 'Yes': -6.7311544}
{' No': -0.080792524, ' Yes': -2.890973, 'No': -4.0243425, '\n': -5.748693, 'Yes': -7.179548}
{' No': -0.21117856, ' Yes': -2.2125459, '\n': -3.0373142, 'No': -3.5311875, 'Yes': -6.237248}
{' Yes': -0.30201787, '\n': -2.2542064, ' No': -2.2587097, ' Sur': -3.535195, 'Yes': -4.1568704}
{' No': -0.036615167, 'No': -3.722164, '\n': -4.9804206, ' Yes': -5.430176, ' ': -8.549664}
{' No': -0.6878232, '\n': -5.55588, 'No': -4.594706, ' Yes': -0.7446793, 'Yes': -4.828252}
{' No': -0.2358227, '\n': -5.437931, 'No': -4.3282676, ' Yes': -1.6601008, 'Yes': -6.112411}
{' Yes': -0.01475482, 'Yes': -4.557689, ' No': -5.9807253, '\n': -6.588628, ' yes': -8.875014}
{' No': -0.22604473, ' Yes': -1.9371061, 'No': -3.4777365, '\n': -3.755498, 'Yes': -5.8978624}
{' Yes': -0.36539567, ' No': -1.3411742, '\n': -3.6574087, 'Yes': -4.4105005, 'No': -5.165574}
{' No': -0.02888492, ' Not': -7.828256, '\n': -5.900047, 'No': -3.886873, ' Yes': -5.414577}
{' No': -0.24251218, '\n': -5.3985543, 'No': -4.11262, ' Yes': -1.6568036, 'Yes': -5.74787}
{' No': -0.028685609, '\n': -5.944109, ' ': -9.152378, 'No': -3.7583895, ' Yes': -6.143429}
{' No': -0.3159231, '\n': -6.4287176, 'No': -4.126123, ' Yes': -1.3887247, 'Yes': -5.6542487}
{' No': -0.026204526, '\n': -6.3573866, ' ': -8.912141, 'No': -3.8118432, ' Yes': -6.319782}
{' No': -0.029382845, 'No': -3.9425354, '\n': -4.7527485, ' Yes': -7.3769813, ' ': -8.678591}
{' No': -0.029963067, 'No': -3.6263127, '\n': -6.650471, ' Yes': -6.717938, ' Not': -8.869675}
{' No': -0.05174827, 'No': -3.6526258, ' Yes': -3.798412, '\n': -6.5297904, 'Yes': -7.671575}
{' No': -0.12031191, ' Yes': -2.4151516, 'No': -4.297653, '\n': -4.716535, 'Yes': -6.7715755}
{' No': -2.648627, '\n': -4.8414083, 'No': -6.6789994, ' Yes': -0.0962207, 'Yes': -4.483584}
{' No': -0.09876438, ' Yes': -2.924158, 'No': -3.9056985, '\n': -3.9862344, 'Yes': -7.3256316}
{' No': -0.0498684, '\n': -3.8528981, ' ': -8.143141, 'No': -4.275582, ' Yes': -4.3594236}
{' No': -0.026116604, '\n': -5.203635, ' ': -8.117064, 'No': -4.01748, ' Yes': -6.4783177}
{' No': -0.1655065, '\n': -4.932165, 'No': -4.0403595, ' Yes': -2.0809958, 'Yes': -6.059435}
{' No': -0.8836422, '\n': -2.9105167, 'No': -3.3618429, ' Yes': -0.75467104, 'Yes': -3.6771007}
{' No': -2.264973, '\n': -2.9791317, 'No': -4.77993, ' Yes': -0.22435199, 'Yes': -3.3260117}
{' No': -0.6648007, ' Yes': -1.1401178, '\n': -2.3778038, 'No': -2.9563386, 'Yes': -4.0736427}
{' Yes': -0.5786709, ' No': -1.4413897, '\n': -2.014439, 'Yes': -3.173485, 'No': -3.7239916}
{' No': -0.1396164, 'No': -2.3267903, '\n': -3.6123374, ' Yes': -5.6133976, ' ': -6.8674736}
